Gemeente;NIS-code;Indicator;Jaar;Type;Mediaanprijs (in euro)
Brecht;11009;Mediaanprijs huizen;2017;Open bebouwing;325000,0
Brecht;11009;Mediaanprijs huizen;2018;Alle huizen;317000,0
Brecht;11009;Mediaanprijs huizen;2018;Gesloten/halfopen bebouwing;271250,0
Brecht;11009;Mediaanprijs huizen;2018;Open bebouwing;340500,0
Brecht;11009;Mediaanprijs huizen;2019;Alle huizen;338000,0
Brecht;11009;Mediaanprijs huizen;2019;Gesloten/halfopen bebouwing;300000,0
Brecht;11009;Mediaanprijs huizen;2019;Open bebouwing;359000,0
Brecht;11009;Mediaanprijs huizen;2020;Alle huizen;342500,0
Brecht;11009;Mediaanprijs huizen;2020;Gesloten/halfopen bebouwing;287000,0
Brecht;11009;Mediaanprijs huizen;2020;Open bebouwing;360000,0
Brecht;11009;Mediaanprijs huizen;2021;Alle huizen;380000,0
Brecht;11009;Mediaanprijs huizen;2021;Gesloten/halfopen bebouwing;349000,0
Brecht;11009;Mediaanprijs huizen;2021;Open bebouwing;399000,0
Brecht;11009;Mediaanprijs huizen;2022;Alle huizen;390000,0
Brecht;11009;Mediaanprijs huizen;2022;Gesloten/halfopen bebouwing;330000,0
Brecht;11009;Mediaanprijs huizen;2022;Open bebouwing;415000,0
Brecht;11009;Mediaanprijs huizen;2023;Alle huizen;407500,0
Brecht;11009;Mediaanprijs huizen;2023;Gesloten/halfopen bebouwing;320000,0
Brecht;11009;Mediaanprijs huizen;2023;Open bebouwing;435000,0
Brecht;11009;Mediaanprijs huizen;2024;Alle huizen;409500,0
Brecht;11009;Mediaanprijs huizen;2024;Gesloten/halfopen bebouwing;336000,0
Brecht;11009;Mediaanprijs huizen;2024;Open bebouwing;447000,0
Brecht;11009;Mediaanprijs huizen;2025;Alle huizen;450000,0
Brecht;11009;Mediaanprijs huizen;2025;Gesloten/halfopen bebouwing;407250,0
Brecht;11009;Mediaanprijs huizen;2025;Open bebouwing;470000,0
Edegem;11013;Mediaanprijs huizen;2010;Alle huizen;270000,0
Edegem;11013;Mediaanprijs huizen;2010;Gesloten/halfopen bebouwing;260000,0
Edegem;11013;Mediaanprijs huizen;2010;Open bebouwing;515000,0
Edegem;11013;Mediaanprijs huizen;2011;Alle huizen;265000,0
Edegem;11013;Mediaanprijs huizen;2011;Gesloten/halfopen bebouwing;256000,0
Edegem;11013;Mediaanprijs huizen;2011;Open bebouwing;540000,0
Edegem;11013;Mediaanprijs huizen;2012;Alle huizen;289000,0
Edegem;11013;Mediaanprijs huizen;2012;Gesloten/halfopen bebouwing;270000,0
Edegem;11013;Mediaanprijs huizen;2012;Open bebouwing;467500,0
Edegem;11013;Mediaanprijs huizen;2013;Alle huizen;282000,0
